"Time (s)","Illuminance (lx)"
0.000000000E0,1.261487503E2
5.018432790E0,2.027112427E2
5.662767807E0,1.829387512E2
5.932945344E0,1.606837463E2
6.028556798E0,1.474424896E2
6.298729656E0,1.158424988E2
9.370579871E0,5.651749802E1
1.432516300E1,3.912500000E1
2.161170200E1,5.217250061E1
3.007567223E1,1.165487442E2
3.742177214E1,1.380337524E2
5.859345374E1,9.903874969E1
7.018260121E1,1.168937454E2
7.140116919E1,1.070674973E2
7.672411443E1,1.316024933E2
7.961452889E1,1.123787460E2
7.998050339E1,1.218137436E2
8.107837919E1,1.735074921E2
8.327419712E1,1.536649933E2
9.182854730E1,1.372412415E2
1.018408640E2,4.342250061E1
1.037538673E2,5.217749786E1
1.038495239E2,6.144374847E1
1.039367920E2,7.022124481E1
1.040657629E2,7.867375183E1
1.041530849E2,8.735374451E1
1.042487456E2,9.624749756E1
1.068596678E2,8.741124725E1
1.104396582E2,1.292587433E2
1.122150273E2,1.110337448E2
1.139486137E2,1.099249935E1
1.218101219E2,9.853750229E0
1.223920593E2,1.521249962E1
1.228451328E2,7.682249451E1
1.237597568E2,6.448625183E1
1.238553453E2,5.609124756E1
1.239426565E2,5.093375015E1
1.249529657E2,4.659749985E1
1.251358475E2,3.917749786E1
1.252231888E2,3.517250061E1
1.253188027E2,3.113249969E1
1.254061322E2,2.836374855E1
1.275475100E2,3.089499855E1
1.278343175E2,4.314374924E1
1.288779048E2,1.518949890E2
1.310774640E2,1.374524994E2
1.314600208E2,1.261974945E2
1.317718576E2,1.150162506E2
1.321543694E2,1.062649994E2
1.423892485E2,1.702225037E2
1.429881185E2,1.552937469E2
1.445643638E2,1.387287445E2
1.446516933E2,1.237975006E2
1.494427153E2,8.564374542E1
1.603715010E2,7.254875183E1
1.689872654E2,6.347999954E1
1.713823381E2,9.624624634E1
1.747092411E2,8.224624634E1
1.827755394E2,7.295124817E1
1.853370416E2,1.330099945E2
1.876445796E2,1.215462494E2
1.877318905E2,9.794124603E1
1.896569522E2,7.302499771E0
1.898399228E2,7.864999771E0
1.923013901E2,9.554999352E0
1.923887143E2,1.070874977E1
1.924843777E2,1.180875015E1
1.926673231E2,1.283374977E1
1.935820269E2,1.441374969E1
1.937649967E2,1.682625008E1
1.938522890E2,1.825499916E1
1.940351885E2,2.091874886E1
1.960970699E2,6.048749924E0
1.962799226E2,6.746249676E0
1.964627104E2,7.311249733E0
1.967579172E2,7.949999809E0
1.975061367E2,9.332499504E0
1.976890284E2,1.049374962E1
1.996385893E2,1.284999943E1
1.997342046E2,1.184875011E1
2.031102025E2,9.013750076E0
2.032931166E2,1.014874935E1
2.044238961E2,7.783750057E0
2.046234811E2,8.441249847E0
2.048230686E2,9.489999771E0
2.061368979E2,1.173874950E1
2.064404294E2,1.035124969E1
2.087191389E2,6.797499657E0
2.206440273E2,1.115625000E1
2.209477754E2,9.763750076E0
2.210433925E2,9.022500038E0
2.260503993E2,1.066125011E1
2.276971073E2,6.901249886E0
2.315940463E2,7.983749866E0
2.323424102E2,1.205124950E1
2.332031868E2,1.069750023E1
2.332904647E2,8.016249657E0
2.346837178E2,6.022500038E0
2.351702453E2,6.546249866E0
2.355362119E2,9.809999466E0
2.358314659E2,5.126374817E1
2.370666213E2,3.405249786E1
2.371788914E2,1.555999947E1
2.453663912E2,7.049999714E0
2.566764000E2,3.593750000E0
2.573376465E2,4.233749866E0
2.637964284E2,7.036249638E0
2.652603379E2,2.745874977E1
2.666367535E2,1.947474976E2
2.668197599E2,1.758574982E2
2.691988638E2,1.621662445E2
2.735900380E2,1.944162445E2
2.800255069E2,1.408812408E2
2.839331540E2,1.220937500E2
2.911376707E2,1.469337463E2
2.940645460E2,7.243624878E1
3.005005744E2,5.263499832E1
3.012321824E2,5.969499969E1
3.040709701E2,1.155724945E2
3.114034932E2,1.465637512E2
3.443620570E2,7.975374603E1
3.457296377E2,8.581499481E1
3.523131817E2,7.604750061E1
3.605406595E2,6.356124878E1
3.744555311E2,8.677124786E1
3.925598858E2,1.475537415E2
3.962189062E2,1.352149963E2
3.964974680E2,1.250237503E2
3.985097250E2,1.393899994E2
4.008876615E2,1.611449890E2
4.025336533E2,1.477162476E2
4.039013490E2,1.151487503E2
4.094847890E2,7.510874939E1
4.099378876E2,8.290625000E1
4.131430948E2,4.875999832E1
4.160705253E2,5.290999985E1
4.162534569E2,5.797999954E1
4.165237452E2,6.415000153E1
4.179875928E2,5.293999863E1
4.324416253E2,6.606999969E1
4.333565685E2,5.945499802E1
4.355523328E2,1.245824966E2
4.393946177E2,2.456575012E2
4.432363744E2,2.173662415E2
4.478099410E2,1.331324921E2
4.496398006E2,1.444387512E2
4.582389383E2,1.586737518E2
4.600684811E2,2.206862488E2
4.672044596E2,2.484387512E2
4.700453352E2,4.738499832E1
4.772685921E2,8.510000229E0
4.775472451E2,9.226249695E0
4.776345432E2,1.420499992E1
4.777302349E2,2.244624901E1
4.778175719E2,2.626624870E1
4.802128927E2,2.174250031E1
4.803084958E2,1.931250000E1
4.820422941E2,2.231124878E1
4.876608186E2,1.989999962E1
4.909550098E2,8.031250000E0
4.916868141E2,1.082999992E1
4.917741353E2,2.386499977E1
4.933334997E2,3.622999954E1
4.944311202E2,3.146374893E1
4.945184580E2,2.788124847E1
4.965313367E2,3.008624840E1
5.013838644E2,1.486374950E1
5.061738564E2,9.712499619E0
5.062611638E2,1.081750011E1
5.064440744E2,1.185874939E1
5.108346969E2,2.647249985E1
5.126643581E2,1.128549957E2
5.174544322E2,1.289212494E2
5.189177774E2,1.407975006E2
5.196828297E2,1.736974945E2
5.308582351E2,1.892174988E2
5.372609181E2,1.676912537E2
5.477854828E2,1.946499939E2
5.925133945E2,9.691374969E1
5.931576091E2,1.120262451E2
5.932448657E2,1.213649979E2
5.933404689E2,1.312574921E2
5.937062570E2,1.414887543E2
5.961714359E2,1.918124962E1
5.972688280E2,2.305624962E1
5.973644301E2,2.522875023E1
6.025904372E2,7.304999828E0
6.110339939E2,6.744999886E0
6.192694258E2,7.336249828E0
6.215928787E2,1.120749950E1
6.243246007E2,1.929624939E1
6.269814913E2,3.109624863E1
6.288109807E2,2.843750000E1
6.314590903E2,3.106124878E1
6.359789457E2,2.015124893E1
6.391560041E2,3.388999939E1
6.399751607E2,1.821737518E2
6.404533883E2,1.635487518E2
6.405407305E2,1.446337433E2
6.406363819E2,1.311012421E2
6.410023177E2,1.180412445E2
6.412185639E2,1.068537445E2
6.413058752E2,9.829999542E1
6.444778178E2,8.604124451E1
6.447480121E2,7.615124512E1
6.468558673E2,8.606749725E1
6.497206033E2,2.809375000E1
6.502693081E2,3.038500023E1
6.512005741E2,3.281250000E1
6.543395711E2,3.548500061E1
6.544268721E2,3.853749847E1
6.553415060E2,5.721999741E1
6.560732951E2,5.282999802E1
6.562562828E2,4.811750031E1
6.578157336E2,2.948374939E1
6.583647006E2,4.612874985E1
6.587306740E2,1.246100006E2
6.611962580E2,9.850249481E1
6.612918829E2,8.104624939E1
6.637912115E2,1.661999893E1
6.648515137E2,1.815374947E1
6.699405522E2,6.521249771E0
6.725887687E2,7.147500038E0
6.727716564E2,7.994999886E0
6.756985393E2,1.545499992E1
6.823470106E2,1.369374943E1
6.824342925E2,1.240749931E1
6.907652147E2,6.118750095E0
6.912266888E2,6.752500057E0
6.930561562E2,7.534999847E0
6.932390624E2,9.226249695E0
6.952516875E2,8.192500114E0
6.967153504E2,3.983749866E0
6.969856238E2,4.574999809E0
6.970812892E2,5.339999676E0
6.971686125E2,5.982500076E0
6.973515797E2,6.538749695E0
7.010099934E2,8.288749695E0
7.055125902E2,1.247624969E1
7.055998970E2,1.102499962E1
7.058784726E2,1.014624977E1
7.103555822E2,1.192749977E1
7.130120030E2,8.752499580E0
7.185865594E2,6.358749866E0
7.195011782E2,7.276249886E0
7.206153073E2,5.862499714E0
7.209812151E2,6.674999714E0
7.231060466E2,1.377999973E1
7.235052389E2,1.205999947E1
7.236881951E2,9.956250191E0
7.237755029E2,9.183750153E0
7.239917515E2,8.434999466E0
7.264700838E2,1.276624966E1
7.372253120E2,2.363999939E1
7.382436012E2,2.104125023E1
7.394863732E2,1.941874886E1
7.406001969E2,1.780125046E1
7.417473382E2,2.230624962E1
7.418346715E2,1.994249916E1
7.448107423E2,2.681124878E1
7.453761740E2,2.285375023E1
7.539172847E2,1.330249977E1
7.627339165E2,1.451124954E1
7.628295399E2,1.627624893E1
7.648747426E2,1.365374947E1
7.651449782E2,1.471000004E1
7.699174944E2,1.584375000E1
7.798114463E2,2.008250046E1
7.816573353E2,1.628874969E1
7.875610950E2,1.021999931E1
7.884757608E2,1.126749992E1
7.893032654E2,1.228499985E1
7.913320020E2,1.054874992E1
7.941798829E2,1.424874973E1
7.956425726E2,5.029874802E1
7.990182278E2,1.427949982E2
8.002114597E2,1.313150024E2
8.207358735E2,1.135212479E2
8.668161214E2,1.801349945E2
8.789948391E2,1.512087402E2
9.159587932E2,1.061524963E2
9.195316009E2,4.705999756E1
9.197146341E2,5.263124847E1
9.244731898E2,3.820499802E1
9.297802576E2,4.109499741E1
9.343546316E2,5.099250031E1
9.355398741E2,4.711124802E1
9.370999609E2,9.428624725E1
9.408478194E2,1.511900024E2
9.450576479E2,2.326374969E2
9.467054042E2,2.138412476E2
9.483534277E2,1.958999939E2
9.519273350E2,2.264612427E2
9.587865406E2,1.647050018E2
9.626298947E2,1.820312500E2
9.757172562E2,1.474899902E2
9.764489879E2,1.609024963E2
9.863454027E2,2.228199921E2
1.024948920E3,2.055899963E2
1.029610044E3,1.410774994E2
